lat_start,lat_end,lng_start,lng_end,lat_center,lng_center,km_to_centroid,grid_in_location,degrees_to_centroid,comfort_leisure_spots,activities_education,mobility_public_transport_bus,activities_economic,activities_goverment,social_life_eating,comfort_comfort_spots,activities_public_service,comfort_leisure_mass,activities_educational,social_life_night_life,mobility_bike_infraestructure,activities_health_regional,activities_health_local,activities_post,activities_mean,comfort_mean,mobility_mean,social_mean
45.56424693300043,45.573246942000445,12.508262568749545,12.536714874478674,45.568746937500435,12.52248872161411,17.862325588444282,True,30.03511629551915,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0
45.56424693300043,45.573246942000445,12.536714874478674,12.565167180207803,45.568746937500435,12.550941027343239,19.622978293896338,True,26.474872940779342,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0
45.56424693300043,45.573246942000445,12.565167180207803,12.593619485936932,45.568746937500435,12.579393333072368,21.46830962441239,False,23.625027591536817,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0
45.55524692400042,45.56424693300043,12.1668349,12.195287205729128,45.55974692850043,12.181061052864564,16.491612885768426,False,150.4695966693671,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0
45.55524692400042,45.56424693300043,12.195287205729128,12.223739511458257,45.55974692850043,12.209513358593693,14.833139069316843,False,145.59431854970782,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0
45.55524692400042,45.56424693300043,12.223739511458257,12.252191817187386,45.55974692850043,12.237965664322822,13.337944550759453,False,139.11389376639937,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0
45.55524692400042,45.56424693300043,12.252191817187386,12.280644122916515,45.55974692850043,12.26641797005195,12.066878280189108,False,130.3592888684738,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0
45.55524692400042,45.56424693300043,12.280644122916515,12.309096428645644,45.55974692850043,12.29487027578108,11.097223908337913,False,118.57655995824666,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0
45.55524692400042,45.56424693300043,12.309096428645644,12.337548734374773,45.55974692850043,12.323322581510208,10.512718429922785,False,103.4703739026124,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0
45.55524692400042,45.56424693300043,12.337548734374773,12.366001040103901,45.55974692850043,12.351774887239337,10.378639793313829,False,86.2454510779495,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0
