lat_center,lng_center,activities_mean,comfort_mean,mobility_mean,social_mean,negative_mean,livability
52.66494512669991,13.474271199019803,0.0,0.0099362479366676,0.0,0.0,0.0,0.0010836683033704057
52.66494512669991,13.477228487901185,0.0,0.0018333743454644,0.0,0.0,0.0,0.00012344431507031454
52.66494512669991,13.48018577678256,0.0,0.0034969920990333,0.0,0.0,0.0,0.0003617951510274036
52.66494512669991,13.483143065663938,0.0,0.008199248068945,0.0,0.0,0.0,0.001472760616230295
52.66494512669991,13.486100354545314,0.0,0.0,0.0,0.0,0.0,0.0
52.66314512489991,13.45357017685016,0.0,0.0,0.0,0.0,0.0,0.0
52.66314512489991,13.456527465731536,0.0,0.0,0.0,0.0,0.0,0.0
52.66314512489991,13.459484754612916,0.0,0.0003463632373593,0.0,0.0,0.0,2.06787230589168e-05
52.66314512489991,13.462442043494292,0.0,0.0025874224915542,0.0,0.0,0.0,0.0001842091136336142
52.66314512489991,13.465399332375672,0.0,0.0008175170573722,0.0,0.0,0.0,6.748352101370609e-05
52.66314512489991,13.468356621257048,0.0,0.0019605847064374,0.0,0.0,0.0,0.0001380234402840806
52.66314512489991,13.471313910138427,0.0,0.0093839913966313,0.0,0.0,0.0,0.0020594404978482414
52.66314512489991,13.474271199019803,0.0,0.0119299384107951,0.0,0.0,0.0,0.0014159405650275099
52.66314512489991,13.477228487901185,0.0,0.0016927488449721,0.0,0.0,0.0,0.00011275565832636903
52.66314512489991,13.48018577678256,0.0,0.0030302823190443,0.0,0.0,0.0,0.0004353554345921693
52.66314512489991,13.483143065663938,0.0,0.0,0.0,0.0,0.0,0.0
52.66314512489991,13.486100354545314,0.0,0.0,0.0,0.0,0.0,0.0
52.66134512309991,13.456527465731536,0.0,0.0,0.0,0.0,0.0,0.0
52.66134512309991,13.459484754612916,0.0,0.0,0.0,0.0,0.0,0.0
52.66134512309991,13.462442043494292,0.0,0.0004401135710209,0.0,0.0,0.0,2.648775926730436e-05
52.66134512309991,13.465399332375672,0.0,0.0013724305021626,0.0,0.0,0.0,8.916491705534616e-05
52.66134512309991,13.468356621257048,0.0,0.0053396854500904,0.0,0.0,0.0,0.0004642966527664515
52.66134512309991,13.471313910138427,0.0,0.0044506850342797,0.0,0.0,0.0,0.00035987273557178806
52.66134512309991,13.474271199019803,0.0,0.001876089101198,0.0,0.0,0.0,0.00012673105976725952
52.66134512309991,13.477228487901185,0.0,0.0002156257674216,0.0,0.0,0.0,1.2728570575606787e-05
52.66134512309991,13.48018577678256,0.0,0.0008391686004939,0.0,0.0,0.0,8.185457783299882e-05
52.66134512309991,13.483143065663938,0.0,0.0,0.0,0.0,0.0,0.0
52.65954512129992,13.285004710611624,0.0,0.0023640661938534,0.0,0.0,0.0039682539682539,0.00240381913055358
52.65954512129992,13.287961999493003,0.0,0.0,0.0,0.0,0.0,0.0
52.65954512129992,13.29091928837438,0.0,0.0,0.0,0.0,0.0,0.0
52.65954512129992,13.459484754612916,0.0,0.0,0.0,0.0,0.0,0.0
52.65954512129992,13.462442043494292,0.0,0.0,0.0,0.0,0.0,0.0
52.65954512129992,13.465399332375672,0.0,0.0065342530379961,0.0,0.0,0.0,0.0005968342680768786
52.65954512129992,13.468356621257048,0.0,0.0026671193749253,0.0,0.0,0.0,0.00019097113933250036
